97,26,68,388,73,PUMP OFF
45,37,64,655,91,PUMP OFF
64,40,62,539,99,PUMP OFF
63,27,31,636,84,PUMP OFF
95,20,76,828,55,PUMP OFF
72,20,30,731,81,PUMP OFF
72,25,69,770,47,PUMP OFF
60,38,65,494,10,PUMP OFF
82,22,73,670,34,PUMP OFF
77,39,80,464,85,PUMP OFF
45,39,38,556,92,PUMP OFF
80,22,78,622,36,PUMP OFF
49,24,48,413,84,PUMP OFF
83,22,31,680,78,PUMP OFF
64,29,32,504,26,PUMP OFF
94,32,63,699,96,PUMP OFF
90,30,71,888,96,PUMP OFF
82,32,52,908,58,PUMP OFF
36,26,45,533,60,PUMP ON
70,38,44,264,10,PUMP OFF
70,25,79,741,68,PUMP OFF
31,24,44,967,54,PUMP ON
51,29,80,509,65,PUMP OFF
35,28,56,483,27,PUMP ON
63,29,50,720,28,PUMP OFF
53,28,55,225,30,PUMP OFF
55,37,75,508,74,PUMP OFF
96,24,49,889,75,PUMP OFF
51,25,63,379,72,PUMP OFF
57,38,54,578,43,PUMP OFF
38,24,59,635,90,PUMP ON
76,20,71,388,73,PUMP OFF
75,25,69,558,39,PUMP OFF
61,37,61,958,31,PUMP OFF
75,29,63,403,83,PUMP OFF
70,31,57,644,64,PUMP OFF
22,27,71,644,85,PUMP ON
75,31,62,232,44,PUMP OFF
43,31,32,345,69,PUMP OFF
61,27,43,594,20,PUMP OFF
